# scripts/agent-map.tsv — v5 agent → v6 role (or skill:<domain> for orchestrators loaded via Skill()).
# Columns: old_type<TAB>new_target<TAB>brief_hint. Consumed by scripts/remap-dispatch.sh and scripts/migrate-v5-to-v6.sh.
# Spellings cks:x, x and luv:x all map to the same row; the scripts derive the variants.
cks:aeo-geo-specialist	cks:marketer	Persona: seo-geo-aeo
cks:agentic-os-builder	cks:operator	Mode: agentic-os init
cks:agile-eagle	cks:strategist	
cks:ahe-evolution-agent	cks:historian	
cks:ai-marketer	cks:marketer	
cks:analytics-tracker	cks:marketer	Mode: analytics
cks:architecture-generator	cks:architect	
cks:assess-runner	skill:attractor	
cks:attractor-runner	skill:attractor	
cks:autoresearch-runner	skill:autoresearch	
cks:bootstrap-generator	cks:operator	Mode: bootstrap (HQ MODE for /cks:hq)
cks:bootstrap-scanner	cks:operator	Mode: scan
cks:brand-marketer	cks:marketer	Persona: brand-strategist
cks:browser	cks:tester	Mode: browser flows
cks:campaign-orchestrator	cks:marketer	workflows/campaign.md
cks:canary-monitor	cks:observer	Mode: canary
cks:caveman-speaker	cks:operator	
cks:cccs-intel-monitor	cks:researcher	
cks:changelog-generator	cks:shipper	Mode: changelog
cks:chief-of-staff	cks:chief-of-staff	unchanged (v6 role)
cks:ciso	cks:reviewer	Mode: security, cross-repo
cks:code-simplifier	cks:builder	Mode: simplify
cks:compliance-advisor	cks:reviewer	Mode: compliance (references/canada.md)
cks:concept-orchestrator	skill:concept-evaluation	
cks:concept-pillar-worker	cks:strategist	Mode: concept pillar (one per dispatch)
cks:control-plane-agent	cks:operator	Mode: control plane
cks:coordination-agent	cks:observer	
cks:copywriter	cks:marketer	Persona: long-form-copywriter or ads-copywriter
cks:cost-analyzer	cks:finops	workflows/cost-audit.md
cks:cost-researcher	cks:researcher	Mode: infra pricing
cks:db-debugger	cks:debugger	Mode: db diagnose
cks:db-erd	cks:architect	Mode: ERD
cks:db-fixer	cks:debugger	Mode: db-fix
cks:db-investigator	cks:reviewer	Mode: db audit (workflows/supabase-audit.md)
cks:db-migration	cks:builder	Mode: migration
cks:debugger	cks:debugger	unchanged (v6 role)
cks:debugger-worker	cks:debugger	Mode: fix, one file-scope group
